Landroid/ranging/CapabilitiesListener$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$Builder;-><init>()V,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$Builder;->build()Landroid/ranging/DataNotificationConfig;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$Builder;->setNotificationConfigType(I)Landroid/ranging/DataNotificationConfig$Builder;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$Builder;->setProximityFarCm(I)Landroid/ranging/DataNotificationConfig$Builder;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig$Builder;->setProximityNearCm(I)Landroid/ranging/DataNotificationConfig$Builder;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->CREATOR:Landroid/os/Parcelable$Creator;,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->NOTIFICATION_CONFIG_DISABLE:I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->NOTIFICATION_CONFIG_ENABLE:I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->NOTIFICATION_CONFIG_PROXIMITY_EDGE:I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->NOTIFICATION_CONFIG_PROXIMITY_LEVEL:I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->getNotificationConfigType()I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->getProximityFarCm()I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->getProximityNearCm()I,public-api,sdk,system-api,test-api
Landroid/ranging/DataNotificationConfig;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
